Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C192893,SL2.1A,CoreChips,SOP-16,,Hub USB 2.0 SOP-16 Interface Controllers RoHS,yes,5,5,5,0.2259,1.13,https://www.lcsc.com/product-detail/C192893.html
2,C48579265,0603X5R106M250NT,AIDE CAPACITOR,0603,,25V 10uF X5R ±20% 0603 Ceramic Capacitors RoHS,yes,20,20,20,0.0258,0.52,https://www.lcsc.com/product-detail/C48579265.html
3,C2345,902-131A1011D10100,Jing Extension of the Electronic Co.,Through Hole,,"USB 2.0 1 4P Type-A Through Hole USB, DVI, HDMI Connector Assemblies RoHS",yes,10,10,10,0.0459,0.46,https://www.lcsc.com/product-detail/C2345.html
4,C189782,U-G-04WD-W-01,Korean Hroparts Elec,"Through Hole,Right Angle",,"USB 2.0 1 -40℃~+85℃ Type-A Through Hole,Right Angle USB, DVI, HDMI Connector Assemblies RoHS",yes,5,5,5,0.0825,0.41,https://www.lcsc.com/product-detail/C189782.html
5,C2237,X49SM3579545MSD2SC-1,YXC Crystal Oscillators,HC-49S-SMD,,Crystal Oscillator 20pF HC-49S-SMD Crystals RoHS,yes,5,5,5,0.1109,0.55,https://www.lcsc.com/product-detail/C2237.html
